## Wavelength (Ang)	Sky Flux		Error (ergs s^-1 cm^-2 Ang^-1 arsec^-2)
## ----------------------------------------------------------------------------------------	
8240.71449434143										4.00735453983479e-18	1.05682851701241e-17
8241.05810231409										4.00689659437506e-18	1.05673972433046e-17
8241.40172461397										4.00681001250198e-18	1.05665136386447e-17
8241.74536124165										4.00647589444428e-18	1.05656272767604e-17
8242.08901219774										4.00601805315795e-18	1.05647395738987e-17
8242.43267748282										4.00568400113980e-18	1.05638533612616e-17
8242.77635709750										4.00528811177298e-18	1.05629665155253e-17
8243.12005104239										4.00489226059163e-18	1.05620797444559e-17
8243.46375931806										4.00462015732343e-18	1.05611944631197e-17
8243.80748192513										4.00434807160176e-18	1.05603092562017e-17
8244.15121886419										4.00370493612414e-18	1.05594198791865e-17
8244.49497013583										4.00361843450614e-18	1.05585369435171e-17
8244.83873574066										4.00322274834257e-18	1.05576505453924e-17
8245.18251567927										4.00282710034485e-18	1.05567642218968e-17
8245.52630995225										4.00267878620779e-18	1.05558808017531e-17
8245.87011856022										4.00228319385206e-18	1.05549946272604e-17
8246.21394150376										4.00182582604603e-18	1.05541078203137e-17
8246.55777878347										4.00143031516929e-18	1.05532217950942e-17
8246.90163039995										4.00128205560699e-18	1.05523386722576e-17
8247.24549635380										4.00088660035273e-18	1.05514527959907e-17
8247.58937664562										4.00055297623385e-18	1.05505677011373e-17
8247.93327127599										4.00021937993506e-18	1.05496826807445e-17
8248.27718024554										3.99994759415507e-18	1.05487984415169e-17
8248.62110355484										3.99955227078849e-18	1.05479128633160e-17
8248.96504120450										3.99921875793607e-18	1.05470280662675e-17
8249.30899319511										3.99894704014106e-18	1.05461440501886e-17
8249.65295952728										3.99861357775734e-18	1.05452594019460e-17
8249.99694020159										3.99834190014044e-18	1.05443755345426e-17
8250.34093521867										3.99794673640741e-18	1.05434903287234e-17
8250.68494457908										3.99767510409768e-18	1.05426066100292e-17
8251.02896828344										3.99728000626537e-18	1.05417215531424e-17
8251.37300633234										3.99694668289152e-18	1.05408372769517e-17
8251.71705872639										3.99661338731268e-18	1.05399530751525e-17
8252.06112546617										3.99634184559463e-18	1.05390696538015e-17
8252.40520655230										3.99582343773217e-18	1.05381834826961e-17
8252.74930198536										3.99561366732311e-18	1.05373009160413e-17
8253.09341176595										3.99528048290117e-18	1.05364170117454e-17
8253.43753589468										3.99507073724082e-18	1.05355345934644e-17
8253.78167437213										3.99467589774173e-18	1.05346501319961e-17
8254.12582719892										3.99421940114970e-18	1.05337650392836e-17
8254.46999437563										3.99388633299220e-18	1.05328814324492e-17
8254.81417590287										3.99349160773454e-18	1.05319971943581e-17
8255.15837178123										3.99322027999609e-18	1.05311144417791e-17
8255.50258201132										3.99288729515284e-18	1.05302310579308e-17
8255.84680659373										3.99249266863248e-18	1.05293470429835e-17
8256.19104552906										3.99215974446296e-18	1.05284638078200e-17
8256.53529881790										3.99195016638833e-18	1.05275820575553e-17
8256.87956646086										3.99161728745675e-18	1.05266989708750e-17
8257.22384845853										3.99134608518848e-18	1.05258166636659e-17
8257.56814481153										3.99095161286514e-18	1.05249330203812e-17
8257.91245552043										3.99061881720049e-18	1.05240501565552e-17
8258.25678058584										3.99028604928685e-18	1.05231673670014e-17
8258.60112000836										3.99007656582605e-18	1.05222860616035e-17
8258.94547378858										3.98974384312943e-18	1.05214034204577e-17
8259.28984192712										3.98928791202888e-18	1.05205194439103e-17
8259.63422442456										3.98889364218147e-18	1.05196362466140e-17
8259.97862128151										3.98862262590289e-18	1.05187545330955e-17
8260.32303249855										3.98841322976908e-18	1.05178735983454e-17
8260.66745807630										3.98801904824254e-18	1.05169906238113e-17
8261.01189801535										3.98762490473660e-18	1.05161077236168e-17
8261.35635231630										3.98735397372260e-18	1.05152263067052e-17
8261.70082097974										3.98695989594724e-18	1.05143435550535e-17
8262.04530400628										3.98662743314206e-18	1.05134615820797e-17
8262.38980139652										3.98641814175260e-18	1.05125810919003e-17
8262.73431315105										3.98590102400881e-18	1.05116971544770e-17
8263.07883927047										3.98563021105685e-18	1.05108161083150e-17
